Deli (Sumatra)								
Den Haag								
Dessau								
Detmold								
Deutsch Krone (heute Walcz, Polen)								
Deutsch-Lissa, Leśnica (ehemals Deutsch Lissa) ist ein Stadtteil im Westen der Stadt Breslau								
Deutsch-Neu-Guinea (Bismarckarchipel)								
Deutsch-Neuguinea								
Deutsch-Ostafrika								
Deutsch-Rixdorf								
Deutsches Reich								
Dhubri (Assam)								
Dissen (Hannover)								
Distrikt, Deli								
Distrikt, Ghazipur								
Distrikt, Haut-Uele								
Distrikt, Storneberg								
Distrikthauptstadt, Songea								
Djokdjakarta (Java)								
Dole (Frankreich)								
Dordrecht								
Dorf, Bindow (bei Königs Wusterhausen)								
Dorf, Mdaburu								
Dorr								
Dresden								
Dresden (Sachsen)								
Dresden-Blasewitz								
Duala	Duala (Kamerun)	Duala (Westafrika)						
								
								
Duke of York Inseln								
Dume (Dahomey)								
Dumebezirk (Kamerun)								
Dunkerque (Dünkirchen)								
Durban	Durban (Südafrika)							
								
Dänemark								
Düsseldorf								
East London								
Eberfeld								
Ebernhahn								
Eberswalde								
Eckernförde								
Ecuador								
Edinburgh (Großbritannien)								
Eichstedt/Altmark (nördlich von Magdeburg)								
Eilenburg								
Eisenach								
El Callao								
Elberfeld								
Elberfeld (heute zu Wuppertal)								
Elizabeth (New Jersey)								
Elsfleth								
Emmerich (am Niederrhein)								
England								
England (Großbritannien)								
Erbach bei Ulm								
Erding								
Erfurt								
Erlangen								
Eschweiler-Pumpe								
Essen								
Essen (Ruhr)								
Essen a.d. Ruhr								
Essen-Altenessen								
Essex								
Etén (Peru)								
Eupen								
Eutin (Holstein)								
Expeditionslager, Wolfshaven am Luala								
Eylau (Ostpreußen)								
Eßlingen								
Farenda Gratidão (Angola)								
Feldbach (Steiermark, Österreich)								
Feldkirch								
Feuerland (Grande Isla de Terra Fuego)								
Fianga								
Fidji								
Fidschi-Inseln								
Fiji, Neu-Kaledonien, Salomon-Inseln								
Finkenkrug								
Finnisch-Lappland								
Finschhafen								
Flandern								
Fleurier (Schweiz)								
Fleurieu-sur-Saône								
Florenz (Toscana / Italien)								
Formosa								
Formosa (Taiwan)								
Formosa (heutiges Taiwan)								
Forsthaus Priemern bei Seehausen (Altmark)								
Foumban								
Frankenhausen, Schwarzburg-Rudolstadt								
Frankfurt	Frankfurt a. M.	Frankfurt a./M	Frankfurt a./M.	Frankfurt a./O.	Frankfurt a.M.	Frankfurt a.O.	Frankfurt am Main	
Frankfurt a./M.- Praunheim								
								
								
								
								
								
								
								
Frankreich								
Franzburg								
Französisch Congo (Gabun)	Französisch-Kongo							
								
Freetown (Sierra Leone)								
Freiberg	Freiburg	Freiburg (Baden)	Freiburg i.Br.	Freiburg im Breisgau				
								
								
								
								
Freienwalde	Freienwalde (Kreis Barnim)							
								
Fribourg (Üechtland/Schweiz)								
Friedenau								
Friedland								
Friedrich-Wilhelmshafen (Deutsch-Neuguinea)								
Friedrichsruh								
Fritzow (bei Kammin/Pommern)								
Gabun								
Gabun, Republik Kongo, Zentralafrikanische Republik, Tschad								
Gabès (heute in Tunesien)								
Gandersheim								
Garmisch								
Garmisch-Partenkirchen								
Gasisi								
Gebiet, Chaco								
Gebiet, Chanchamayo								
Gebiet, Gran Chaco								
Gebiet, Kilimanjaro								
Gebiet, Ogawe								
Gebiet, Sierra del Nayarit								
Gebiet, Uaupé								
Gebiet, Xingu (Brasilien)								
Gebirge, Uluguru								
Gemeinde, Handschuhsheim (bei Heidelberg)								
Genf								
Genf (Schweiz)								
Gent (Gand)								
Genua								
Gera								
Germersheim (Rheinhessen)								
Gernrode/Anhalt								
Geroldsgrün (Bayern)								
Gesundbrunnen								
Gießen								
Gilbert-Inseln								
Gits (Flandern)								
Gjövik (Norwergen)								
Glatz (Schlesien)								
Glauchau								
Glauchau (Sachsen)								
Gleiwitz								
Glogau								
Godesberg								
Goldküste								
Gordemitz bei Eilenburg								
Gorongtalo (Celebres/Sulawesi)								
Gotha								
Gouvernement, Livland (Russland)								
Grabow i./M.								
Grafenstein bei Klagenfurt (Kärnten)								
Grahamstown								
Graudenz (Westpreußen)								
Graz (Österreich)								
Greenwich, Kent								
Greifenberg i/Pom.								
Greifswald								
Greifswald, aus E 999/1891								
Greifswalde								
Greiz								
Grenzgebiet, Ghana-Togo								
Gresse (Mecklenburg-Vorpommern)								
Gronau in Westfalen								
Grootfontain (Damaraland)								
Gross Flottbek								
Gross Leuthen bei Lübben								
Gross Schönau (Sachsen)								
Groß Lichterfelde								
Groß-Lichterfelde (bei Berlin)								
Groß-Wüstenfelde (bei Teterow/Mecklenburg)								
Großbritannien								
Großlichterfelde								
Gräfentonna (bei Gotha)								
Grönland								
Grünberg (Hessen)								
Guadalajara (Mexiko)								
Guajaquil (Ecuador)								
Guatemala								
Guatemala-Stadt								
Guayana								
Guayaquil (Ecuador)								
Guinea								
Guinea (afrikanische Westküste)								
Gumbinnen (Ostpreußen)								
Gut Bennigsen bei Springe								
Gut Hellenorm (Estland) (Хелленурм, близ Риги)								
Gut Seeburg								
Gut, Sandfort bei Osnabrück								
Guttstadt a./R								
Gutu (Rhodesien)								
Görlitz								
Göteburg (Göteborg)								
Göteburg (Schweden)								
Göttingen								
Gürzenich b/Düren (Rheinland)								
Güstebiese (Kr. Königsberg/Naumark)								
Güstrow								
Güstrow (Mecklenburg)								
Haag (Den Haag)								
Haarlem								
Haarlem (Niederlande)								
Habana (Kuba, Cuba)								
Habelschwerdt (Glatz)								
Hadersleben								
Hagen (Westfalen)								
Hagen (bei Osnabrück)								
Haiphong (Vietnam)								
Haiti								
Halensee								
Halensee, Berlin								
Halle (Saale)								
Halle a./S.								
Hamburg								
Hamm								
Hanau								
Hannover								
Hansfelde								
Hanson (Massachusetts, Vereinigte Staaten USA)								
Hardersleben								
Harrow								
Hatshausen								
Hauptort Stadtsulza, Bad Sulza (Thüringen)								
Hauptstadt, Tepii								
Hawaii								
Hebron (Ohio)								
Hechingen								
Heckelberg								
Hefei (China)								
Hehlen/Weser								
Heidelberg								
Heilbronn								
Heimersheim (/ Ahr)								
Heimersheim / Ahr								
Heimersheim/ Ahr								
Helgoland								
Hellinghausen								
Herberthöhe								
								
Herbertshöhe (Papua-Neuguinea)	Herbertshöhe							
Herero (Südafrika)								
Heringsdorf								
Hermannsburg (Landkreis Celle)								
Herrnhut								
Hersburg (bei Weimar)								
Hervey Inseln (Deutsch-Neuguinea)								
Herzogswalde bei Wilsdruff (Sachsen)								
Hessen								
Hikari								
Hildburghausen (Thüringen)								
Hilden								
Hildesheim								
Hillcrest								
Hiltrup								
Himalayaländer								
Hinterland von Mozambique (Ostafrika)								
Hiogo (Hyogo)								
Hirschberg								
Hirschberg (Schlesien)								
Hlukhiv (Nähe von Grojec)								
Hobart (Tasmania)								
Hoboken (New Jersey)								
Hoffeld (b. Kiel)								
Hohen Lychen (Uckermark)								
Hohenheim bei Stuttgart								
Hohenstein-Ernstthal								
Hokkaido (Japan)								
Hollabrunn (bei Wien)								
Holländisch Neu-Guinea								
Homberg								
Honduras								
Hong Kong								
								
Honolulu (Hawaii)	Honolulu							
Hopi								
Hubertushöhe								
Huichol								
Husum								
Hyôgo-Osaka, ab 1885 Generalkonsul								
Höchstadt an der Aisch								
Hörde (heute Dortmund)								
Höxter								
Illinois								
Indien								
Indischer Archipel								
Indochina								
Indonesien								
Indonesischer Archipel								
Inning (Ammersee)								
Innsbruck								
Insel, Alsen (Dänemark)								
Insel, Ponape (Karolinen/Mikronesien)								
Insel, Risøy bei Tromsø (Norwegen)								
								
Insel, Sachalin, Ainu, 1911	Insel, Sachalin							
Insel, Sangir								
Insel, Sulawesi (Celebes)								
Insel, Sumatra								
Insel, Ureparapara (Banksgruppe)								
Instanbul (Türkei)								
Insterburg								
Iran								
Irkutsk								
Italien								
Jacobshavn (West-Grönland)								
Jakutsk (Sibirien)								
Jaluit								
Jaluit (Marshallinseln)								
Jamaika								
Japan								
Japan (Insel Sachalin)								
Jarkend								
Jaunde								
Java								
Java (Indonesien)	Java, Sumatra							
Java (Jawa)								
								
Jawa								
Jena								
Jesus Maria								
Johannesburg								
Johannistal								
Johore								
Jokohama (Yokohama) (Japan)								
Jolo (Sulu-Archipel)								
Kairo (Cairo)								
								
Kairo/Cairo (Ägypten)	Kairo (Ägypten)							
Kaiser-Wilhelms-Land (Deutsch-Neuguinea)								
Kaiserin-Augusta-Fluss (Neuguinea)								
Kaiserreich, China								
Kaiserreich, Russland								
Kaiserreich, Österreichisch-Ungarn								
Kalabar								
Kalifornien								
								
Kalkutta (Calcutta) (Indien)	Kalkutta (Calcutta)							
Kallara (New South Wales)								
Kambodscha								
Kamerun								
Kamraniye (Persien)								
Kamtschatka								
Kanada								
Kanada (Canada)								
Kandy (Indien)								
Kansas								
Kanton								
Kanton (China)	Kanton/Canton (China)							
								
Kap Verde Inseln								
Kapstadt (Südafrika)								
Kapurthala (Nordwest-Indien, Punjab)								
Karkodje/Carcoggi (heute Sannar am blauen Nil)								
Karlsbad								
Karlsbad (Karlovy Vary)								
Karlsruhe								
Karlsruhe (Baden)								
Karolinen								
Karolinen (Ponapé, Pohnpei)								
Kasdorff (bei Kleeth in Mecklenburg)								
Kashgar								
Kassel								
Katanga								
Katanga (Kongo)								
Kattowitz								
Kauai (Hawaii)								
Kaukasus								
Kaulsdorf								
Kemen (Posen)								
Kenhardt (Cape Colony)								
Kenia								
Kessenich								
Kiautschou								
Kiautschou/Tsingtau (Qingdao), Pachtgebiet/Schutzgebiet lt. Staatsvertrag								
Kiboscho								
Kiel								
Kigoma bei Ujiji								
Kilimatinde								
Kilossa								
Kilwa								
Kilwa, Hinrichtung								
Kimberley								
Kinena (Kongogebiet), südöstlich von Kinangani								
Kionga								
Kirchheimbolanden (Pfalz)								
Kirgisen								
Kirnbach bei Wolfach (Baden)								
Kitzeberg								
Kitzingen								
Kl. Bengerstorf								
Klein Popo (Togo)								
Klein Zschachwitz (bei Dresden)								
Klein Zscharnitz								
Klein-Popo								
Klein-Sedlitz								
Kloster Malchow (Mecklenburg)								
Kobe								
Kobe (Japan)								
								
Koblenz (Coblenz)	Koblenz							
Koepang (Kupang) (Timor)								
Kolberg (Pommern)								
Kolonie, Britisch-Birma								
Kolonie, Britisch-Indien								
Kolonie, Britisch-Neuguinea								
Kolonie, Britisch-Ostafrika								
Kolonie, Deutsch-Ostafrika								
Kolonie, Französisch-Kongo								
Kolonie, Niederländisch-Indien								
Kolonie, Niederländisch-Neuguinea								
Kolonie, Portugiesisch-Ostafrika								
Kolonie, Portugiesisch-Westafrika								
Kolonie, Singapore								
"Kolonie/""Schutzgebiet"", Deusch-Ostafrika"								
"Kolonie/""Schutzgebiet"", Deutsch-Neuguinea"								
"Kolonie/""Schutzgebiet"", Deutsch-Ostafrika"								
"Kolonie/""Schutzgebiet"", Deutsch-Südwestafrika"								
"Kolonie/""Schutzgebiet"", Kamerun"								
"Kolonie/""Schutzgebiet"", Niederländisch-Indien"								
"Kolonie/""Schutzgebiet"", Samoa"								
"Kolonie/""Schutzgebiet"", Togo"	"Kolonie/""Schutzgebiet"", Togoland"							
								
"Kolonie/""Schutzgebiet"", Victoria"								
Kolumbien								
Kolyma								
Komotau, Böhmen (heute: Chomutov, Tschechien)								
Kongo								
Kongo (Demokratische Republik)								
Kongo-Staat								
Kongulo am Dja (Kamerun)								
Konitz								
Konstantinopel								
Konstanz								
Kopenhagen								
Kopenhagen (Dänemark)								
Koprieve (Polen)								
Korea	Korea, siehe Bemerkungen	Korea, Einzelstück ??						
								
								
Korsör/Kiel, zwischen Korsör und Kiel (auf See)								
Koszalin (deutsch: Köslin)								
Kraatz bei Gransee (Mark Brandenburg)								
Krasnojarsk, Quelle ??								
Kreis, Apenrade, Geburtsort lt. Katalog 1901								
Kreisstadt, Neurode (Grafschaft Glatz in Schlesien)								
Kroatien								
Kronberg (Taunus)								
Kronkolonie, Labuan								
Kronprinzenkoog (Holstein)								
Krotoszyn (Krotoschin) Provinz Posen/Preußen								
Krumpendorf/Wörthersee (Österreich)								
Kuibis								
Kulm (Westpreußen)								
Kyôto (Japan)								
Köln								
Königreich, Benin								
Königreich, Dahomey								
Königreich, Mpororo								
Königreich, Siam								
Königsberg								
Königsberg (Neumark)								
Königsberg (Ostpreußen)								
Königsberg (i.Pr.)	Königsberg i/Pr.							
Königsberg [Kbg]								
								
Könitz (Thüringen)								
Köpenik								
Köthen (Cöthen)								
Küste vor Westafrika								
La Crosse (Wisconsin, Vereinigte Staaten (USA))								
La Paz (Bolivien)								
La Tour-de-Peilz (Schweiz)								
Labrador								
Lagos								
								
								
Lahore (Pakistan)	Lahore (Indien)	Lahore (Britisch-Indien)						
Lahr (i.B.)								
Lamberg								
Lamu								
Land, Angola								
Land, Argentinien								
Land, Australien								
Land, Belgien								
Land, Benin								
Land, China								
Land, Indien								
Land, Iran								
Land, Namibia								
Land, Portugal								
Land, Rhodesien								
Land, Simbabwe (Zimbabwe)								
Land, Sudan (Oberer Nil)								
Land, Südafrika								
Land, Tansania								
Land, Uganda								
Land, Vietnam								
Land/Region, Südafrika								
Land/Region, Tansania								
Landschaft, Adamaua								
Landshut (Bayern)								
Langensalza								
Langenschwalbach								
Langkat (Sumatra)								
Laos								
Lassan (Vorpommern)								
Lauban								
Lauchhammer								
Lauchheim (Württemberg)								
Lausanne (Schweiz)								
Leau								
Lechenich (Rheinland)								
Leeds (Großbritannien)								
Lehe								
Lehe bei Bremerhaven								
Leiden								
Leiden (Leyden)								
Leiden (Leyden) (Niederlande)	Leiden (Niederlande)							
								
Leipzig								
Lengenfeld (Vogtland)								
Lenggries								
Lenthe (bei Hannover)								
Liberia								
Libysche Wüste								
Lichtenberg								
Lichtenthal (Ludwigsbad)								
Lichterfelde								
Liegnitz								
Liegnitz (Schlesien)								
Lima								
Lima (Peru)								
Limburg (Lahn)								
Limburg an der Lahn (Hessen)								
Limburg an der Lahr								
Limburg/Lemberg								
Lindenhof bei Eutin								
Lindenthal/Cottbus								
Lindi								
Lippstadt (Lkr. Soest / Nordrhein-Westfalen)								
Liverpool								
Liverpool (Großbritannien)								
Lixingen (Lothringen)								
Loanda (Luanda)								
Loango								
Loben (Oberschlesien)								
Lome								
Lome (Togo)	Lome (Togo), Vorgang							
								
London								
London (Großbritannien)								
Longji								
Los Angeles (Californien)								
Los Angeles (Chile)								
Lubochin (bei Dritschmin/ West Preußen)	Lubochin bei Dritchmin (West-Preußen)							
								
Ludwigsburg								
Luf								
Lugano								
Luhonono								
Lunda (Kongo)								
Lupembe								
