geoname	geoname1	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	geonameId	latitude	longitude
Boston, Massachusetts, USA	Boston, Massachusetts, USA									4930956	42.35843	-71.05977
Bougainville	Bougainville									2089470	-6	155
	Bourg-la-Reine (Hauts-de-Seine)‏											
Brandenburg/Havel	Brandenburg a.d. Havel	Brandenburg/Havel								2945358	52.41667	12.55
Brannenburg	Brannenburg									2945165	47.73996	12.09166
Brasilien	Brasilien									3469034	-10	-55
Brass (Niger-Delta)	Brass (Niger-Delta)									8638097	4.36648	6.45462
Braunsberg (Ostpreußen)	Braunsberg (Ostpreußen)									3102677	54.37971	19.81959
Braunschweig	Braunschweig									2945024	52.26594	10.52673
Bremen	Bremen									2944388	53.07582	8.80717
Bremerhaven	Bremerhaven									2944368	53.55357	8.57553
Bremerhaven-Geestemünde	Bremerhaven-Geestemünde									2922109	53.53294	8.59446
Breslau (Schlesien)	Breslau (heute Wrocław, Polen)	Breslau (Wrocławia), Schlesien	Breslau (Schlesien)	Breslau						3081368	51.1	17.03333
Brieg	Brieg									2981280	48.51513	-2.76838
	Brighton (Großbritannien)											
	Britisch-Guayana											
	Britisch-Indien											
	Britisch-Neuguinea											
	Britisch-Neuguinea, Santa-Cruz-Inseln											
	Britisch-Ostafrika											
	Britisch-Tibet											
British Columbia (Kanada/Canada)	British Columbia (Kanada/Canada)									7281922	49.08333	-122.35
Brixton	Brixton									11495349	18.02039	-77.31744
Bromberg	Bromberg									3102014	53.1235	18.00762
Brooklyn	Brooklyn									5110302	40.6501	-73.94958
Broom	Broom									5909604	46.99691	-79.91291
Brühl bei Köln	Brühl bei Köln									2943320	50.82928	6.90499
Brüssel	Brüssel									2800866	50.85045	4.34878
Brüssel (Belgien)	Brüssel (Belgien)	Brüssel (Bruxelles)								2800866	50.85045	4.34878
Buchara (Usbekistan)	Buchara (Usbekistan)									1217662	39.77026	64.43069
Budapest (Ungarn)	Budapest (Ungarn)	Budapest								3054643	47.49835	19.04045
Buea	Buea									2233410	4.15342	9.24231
Buenos Aires (Argentinien)	Buenos Aires (Argentinien)	Buenos Aires	Buenos Aires (Argentinen)							3435910	-34.61315	-58.37723
	Buer in Westfalen											
	Bukoba (Ostafrika)											
Bulawayo	Bulawayo									894701	-20.15	28.58333
Buloa	Buloa									12290964	-5.11056	119.43861
	Bumbuli (Usambara)											
	Bundesstaat, Arizona											
	Bundesstaat, Louisiana											
	Bundesstaat, Mato Grosso	Bundesstaat, Matto Grosso										
	Bundesstaat, Missouri											
Bundesstaat, New Mexico	Bundesstaat, New Mexico									5126705	43.45951	-76.22882
Bundesstaat, Northern Territory	Bundesstaat, Northern Territory									7274861	42.16956	-79.40395
	Bundesstaat, Virgina											
	Bundesstaat, Western Australia											
Bunzlau	Bunzlau									3102987	51.26418	15.5697
Burgstall	Burgstall									3170040	46.60949	11.19313
Burundi	Burundi									433561	-3.5	30
Buschir	Buschir									139817	28.96887	50.83657
Bërut [Beirut]	Bërut [Beirut]									276781	33.89332	35.50157
Bückeburg	Bückeburg									2942159	52.26065	9.04939
Büderich	Büderich									3205791	51.54591	7.87548
Bützow	Bützow									2940476	53.84133	11.98145
Calabrien	Calabrien									2525468	39	16.5
	Calamba (Provinz La Laguna, Luzon)											
	Calchaquigebiet											
Calcutta (Indien)	Calcutta (Indien)	Calcutta (Kalkutta)	Calcutta							1275004	22.56263	88.36304
Camberwell (London)	Camberwell (London)									3345438	51.4739	-0.09381
Cambridge	Cambridge (Großbritannien)	Cambridge								4931972	42.3751	-71.10561
Campden	Campden									5914254	43.13341	-79.4329
Campeche	Campeche									3531730	18.83333	-90.25
Cape Colony	Cape Colony									2275086	6.93039	-10.9945
